id,label,occ_field,weighted_avg_income
1800,Economists and market researchers,"Life, Physical, and Social Science",103458.44454877464
1430,"Industrial Engineers, including Health and Safety",Architecture and Engineering,78343.6776741723
5620,Stock Clerks and Order Fillers,Office and Administrative Support,24889.335765322543
8930,"Paper Goods Machine Setters, Operators, and Tenders",Production,41930.662040689596
6530,Structural Iron and Steel Workers,Construction,42444.777611225356
6050,"Agricultural workers, nec","Farming, Fisheries, and Forestry",23702.178526138418
7020,Radio and Telecommunications Equipment Installers and Repairers,"Installation, Maintenance, and Repair",50161.314834601595
5160,Bank Tellers,Office and Administrative Support,25632.789946969096
4920,Real Estate Brokers and Sales Agents,Sales and Related,61564.9262918142
9750,"Material moving workers, nec",Transportation and Material Moving,41001.49383219426
3160,Physical Therapists,Healthcare Practitioners and Technicians,68984.95789459276
1740,Environmental Scientists and Geoscientists,"Life, Physical, and Social Science",80195.72464964603
4250,Grounds Maintenance Workers,Building and Grounds Cleaning and Maintenance,20123.02534222538
6440,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",Construction,43087.28751248873
6820,"Earth Drillers, Except Oil and Gas",Extraction,55995.08171519111
8740,"Inspectors, Testers, Sorters, Samplers, and Weighers",Production,47758.84889136198
1960,"Life, Physical, and Social Science Technicians, nec","Life, Physical, and Social Science",44963.22371408917
5420,"Information and Record Clerks, All Other",Office and Administrative Support,43458.50058856442
1300,"Architects, Except Naval",Architecture and Engineering,75958.94120969147
3710,First-Line Supervisors of Police and Detectives,Protective Service,77058.06686126911
4210,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Building and Grounds Cleaning and Maintenance,31730.454868704208
2040,Clergy,Community and Social Services,44120.964199254515
1610,Biological Scientists,"Life, Physical, and Social Science",69521.87884219336
4950,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sales and Related,20731.519014750338
2600,Artists and Related Workers,"Arts, Design, Entertainment, Sports, and Media",35416.27714814382
5920,Statistical Assistants,Office and Administrative Support,55445.26406677384
205,"Farmers, Ranchers, and Other Agricultural Managers","Management in Business, Science, and Arts",18130.402069107433
7220,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,"Installation, Maintenance, and Repair",48014.92213382225
8550,"Woodworkers including model makers and patternmakers, nec",Production,23973.60737143624
120,Financial Managers,"Management in Business, Science, and Arts",113593.74400566297
2740,Dancers and Choreographers,"Arts, Design, Entertainment, Sports, and Media",41601.981133265086
8720,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Production,35881.235769525825
8100,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",Production,37686.83011639813
1460,Mechanical Engineers,Architecture and Engineering,85288.81071781353
6130,Logging Workers,"Farming, Fisheries, and Forestry",25181.767456756817
6520,"Sheet Metal Workers, metal-working",Construction,41852.21016249042
1220,Operations Research Analysts,Computer and Mathematical,77926.86661692528
4040,Bartenders,Food Preparation and Serving,26540.032857222006
5520,Dispatchers,Office and Administrative Support,43904.63133151115
3150,Occupational Therapists,Healthcare Practitioners and Technicians,67761.11166024947
4060,"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop",Food Preparation and Serving,10771.919102979346
9630,Machine Feeders and Offbearers,Transportation and Material Moving,27444.736691613994
3410,Health Diagnosing and Treating Practitioner Support Technicians,Healthcare Practitioners and Technicians,39178.72102556297
8640,"Chemical Processing Machine Setters, Operators, and Tenders",Production,49391.129011661134
30,"Managers in Marketing, Advertising, and Public Relations","Management in Business, Science, and Arts",104863.87048550394
9030,Aircraft Pilots and Flight Engineers,Transportation and Material Moving,116117.79000053086
8530,"Sawing Machine Setters, Operators, and Tenders, Wood",Production,26133.61680641518
6660,Construction and Building Inspectors,Construction,49002.76096933024
7240,Small Engine Mechanics,"Installation, Maintenance, and Repair",29303.30214078549
3940,Crossing Guards,Protective Service,17545.060993845964
4840,"Sales Representatives, Services, All Other",Sales and Related,73953.84494398319
1560,Surveying and Mapping Technicians,Technicians,46189.43006804192
5000,First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support,60001.59664048552
5110,Billing and Posting Clerks,Office and Administrative Support,45999.21337782704
3640,Dental Assistants,Healthcare Support,31348.81378323059
8230,"Bookbinders, Printing Machine Operators, and Job Printers",Production,37308.85668350861
1410,Electrical and Electronics Engineers,Architecture and Engineering,90697.50775554478
8450,Upholsterers,Production,23142.40001865773
8650,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",Production,40087.47311916253
8420,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Production,28873.829995746913
5350,Correspondent clerks and order clerks,Office and Administrative Support,34693.09520017707
6420,"Painters, Construction and Maintenance",Construction,23176.250078813668
7810,"Butchers and Other Meat, Poultry, and Fish Processing Workers",Production,29884.93145220554
4800,Advertising Sales Agents,Sales and Related,69251.95683272519
7800,Bakers,Production,26353.910755486777
1910,Biological Technicians,"Life, Physical, and Social Science",46390.49213148
2000,Counselors,Community and Social Services,43538.27756924883
5250,"Eligibility Interviewers, Government Programs",Office and Administrative Support,53676.457646225186
710,Management Analysts,Business Operations Specialists,85455.71553333245
3540,"Healthcare Practitioners and Technical Occupations, nec",Healthcare Practitioners and Technicians,61506.811408315305
2140,Paralegals and Legal Assistants,Legal,49951.108065050335
9000,Supervisors of Transportation and Material Moving Workers,Transportation and Material Moving,56664.27760394416
8810,Painting Workers and Dyers,Production,35335.68065096148
8830,Photographic Process Workers and Processing Machine Operators,Production,47388.94014336745
4750,Parts Salespersons,Sales and Related,37410.228347066615
3740,Firefighters,Protective Service,67826.87887128293
2850,Writers and Authors,"Arts, Design, Entertainment, Sports, and Media",43767.52317382836
8620,Water Wastewater Treatment Plant and System Operators,Production,53185.67845285888
3530,"Health Technologists and Technicians, nec",Healthcare Practitioners and Technicians,50069.94570351389
6300,"Paving, Surfacing, and Tamping Equipment Operators",Construction,30123.764606211298
5410,Reservation and Transportation Ticket Agents and Travel Clerks,Office and Administrative Support,39391.407445752586
5510,Couriers and Messengers,Office and Administrative Support,35433.992420440394
9640,"Packers and Packagers, Hand",Transportation and Material Moving,23874.982950219954
3300,Clinical Laboratory Technologists and Technicians,Healthcare Practitioners and Technicians,49687.60331069829
